Year,UniqueCarrier,Origin,Dest,count
2007,WN,AUS,HRL,1
2008,WN,LAS,OMA,3
2008,WN,MCI,PHX,4
2008,WN,MCO,RSW,4
2008,WN,OAK,SNA,9
2008,WN,PBI,ISP,3
1990,US,BWI,LGA,31
1990,US,ABQ,TUS,31
1993,US,EWR,BOS,26
1997,HP,ATL,PHX,91
2001,US,PIT,EWR,31
2002,US,CLT,BDL,53
2003,UA,SEA,DEN,6
2007,WN,ABQ,PDX,1
2007,WN,BWI,BDL,9
2007,WN,MCI,DEN,4
2007,WN,MCI,SMF,1
2008,WN,MDW,IAD,6
1988,PI,UCA,SYR,30
1990,US,PIT,TPA,30
1993,US,PIT,GRR,24
2006,US,ORD,CLT,5
2007,WN,ABQ,MCI,2
2007,WN,LAS,BUR,13
2007,WN,MDW,DTW,8
2008,WN,LIT,BWI,1
2008,WN,LIT,LAS,1
2008,WN,MCI,LAX,4
2008,WN,RDU,MCO,4
2008,WN,SAN,AUS,2
1991,US,PIT,ISP,30
1992,US,DCA,MCI,5
2001,US,CLT,BNA,59
2007,WN,ABQ,MCO,2
2007,WN,BHM,BWI,3
2007,WN,BWI,MHT,11
2007,WN,LAS,RDU,1
2008,WN,LIT,DAL,7
2008,WN,RNO,LAS,13
2008,WN,SJC,SNA,8
1987,PS,SJC,BUR,52
1988,PS,BUR,SFO,80
1990,US,SAN,PSP,30
2003,UA,DEN,MSY,6
2003,UA,DEN,COS,29
2005,UA,SMF,ORD,21
2006,US,BNA,CLT,6
2006,US,PHL,ORD,7
2007,WN,AUS,PHX,4
2007,WN,LAX,SLC,4
2008,WN,MDW,OMA,6
2008,WN,ONT,PHX,12
1992,US,MCI,SAN,25
2003,UA,ORD,SAT,25
2006,US,PHL,MIA,5
2006,US,PHX,DFW,5
2007,WN,BWI,RSW,2
2007,WN,BWI,TPA,7
2007,WN,LAS,BOI,2
2008,WN,MDW,CLE,7
2008,WN,PHL,JAX,2
1992,US,ATL,PHL,18
2003,UA,DEN,CLE,6
2003,UA,ORD,GEG,25
2006,US,CLT,MSY,4
2006,US,PIT,PHX,3
2006,US,SFO,CLT,3
2007,WN,SMF,PHX,6
2007,WN,BWI,DTW,4
2007,WN,DAL,MCI,6
2007,WN,DTW,BWI,4
2007,WN,LBB,DAL,8
2008,WN,LAS,BHM,1
2008,WN,OKC,STL,2
2008,WN,ONT,OAK,12
2008,WN,PVD,PHL,5
2003,UA,BOS,IAD,31
2004,UA,LAX,DEN,37
2006,US,BTV,PHL,4
2007,WN,TPA,IND,1
2007,WN,BNA,CLE,4
2007,WN,BNA,SEA,1
2007,WN,HOU,PHL,2
2008,WN,SAT,DAL,15
1989,UA,LAX,DEN,6
1991,US,LAX,SFO,30
2003,UA,DEN,OKC,25
2005,UA,ORD,SAT,26
2005,UA,PIT,ORD,31
2006,US,PHL,BWI,3
2007,WN,ELP,LAS,2
2007,WN,MCO,CMH,2
2007,WN,MDW,LIT,1
2008,WN,PVD,MCO,6
1991,US,CLT,EWR,21
1992,US,SMF,LAX,24
1997,HP,AUS,PHX,92
2002,US,PIT,BNA,26
2002,US,SJU,CLT,8
2003,UA,ORD,PHX,6
2004,UA,CLT,DEN,6
2004,UA,IAD,MCO,25
2006,US,CLT,RIC,8
2006,US,MCI,PHX,3
2006,US,OAK,PHX,5
2006,US,RSW,DCA,3
2007,WN,STL,PHX,6
2007,WN,LAX,ABQ,4
2008,WN,SJC,LAX,14
1989,UA,MCI,ORD,27
1993,US,LAX,PIT,30
1994,US,CLT,BNA,30
1999,WN,ABQ,PHX,389
2002,US,RDU,PIT,23
2002,US,CLT,DTW,26
2003,UA,OAK,ORD,6
2003,UA,SJC,ORD,31
2004,UA,SLC,ORD,25
2006,US,CMH,PHX,4
2006,US,FLL,BOS,2
2006,US,LAS,CLT,3
2006,US,LAS,ORD,3
2006,US,PHX,STL,3
2007,WN,BWI,ABQ,1
2007,WN,ELP,SAT,4
2008,WN,MDW,OAK,5
2008,WN,OAK,SLC,5
2008,WN,PHL,PVD,5
2008,WN,SDF,MDW,5
1992,US,FLL,PHL,31
2003,UA,IAH,DEN,25
2006,US,CLT,DCA,18
2007,WN,HOU,BWI,4
2007,WN,JAX,IND,1
2007,WN,LAS,TUS,6
2008,WN,SAT,BWI,2
1992,US,RIC,PIT,6
1992,US,CLT,CHA,4
1993,US,IND,BWI,24
1994,US,BOS,DCA,27
2003,UA,SFO,SAN,78
2004,UA,DTW,ORD,25
2006,US,LAS,ONT,2
2006,US,PHX,SFO,5
2007,WN,IAD,LAS,1
2007,WN,MCO,DTW,1
2008,WN,PHL,MCO,7
1987,PS,MFR,SFO,20
1989,UA,IAH,MSY,26
1990,US,LAS,BUR,29
2003,UA,MIA,ORD,6
2005,UA,ORD,SLC,30
2006,US,BDL,PIT,2
2006,US,BOI,PHX,4
2007,WN,ABQ,LBB,1
2008,WN,LAS,PDX,4
1988,PS,LAS,SAN,46
1991,US,CHS,CLT,24
1992,US,MSP,PIT,31
2004,UA,ORD,MCI,31
2006,US,BOS,SJU,2
2006,US,EWR,LAS,3
2006,US,PVD,DCA,4
2006,US,CLE,LAS,1
2007,WN,TPA,ALB,1
2007,WN,ABQ,HOU,3
2008,WN,LAS,HOU,4
2008,WN,MCO,STL,4
1991,US,LAX,TPA,10
2003,UA,ORD,SNA,6
2006,US,LAX,PHX,10
2006,US,MIA,PHX,1
1987,PS,LAX,PHX,5
1988,PS,OAK,SAN,91
1994,US,STL,LGA,3
