Year,Origin,Dest,count
2006,CLT,PHX,2
2006,HNL,PHX,1
2006,PHL,JAX,3
2007,BWI,ALB,5
2007,IND,TPA,1
2008,LAX,TUS,5
1988,MYR,BWI,11
1989,HNL,DEN,20
1990,EWR,PIT,23
1991,PBI,PIT,19
1993,BWI,PHX,21
1994,HPN,PIT,3
2005,MCI,DEN,8
2006,PHX,CLE,2
2007,TUL,STL,1
2007,HOU,AUS,3
2007,HOU,DEN,1
2007,LAS,CLE,1
2008,MCO,STL,4
2008,MDW,RNO,1
1990,MCO,PIT,15
1991,IND,CLE,15
1993,IND,PHX,21
2001,PIT,MSP,6
2003,SAN,SFO,3
2003,PHL,ORD,11
2004,ORD,PBI,17
2004,DEN,PDX,16
2005,SLC,DEN,5
2006,PHX,OAK,1
2006,PIT,RSW,1
2006,CLE,PHX,1
2007,BWI,CLE,2
2008,JAX,TPA,3
1989,DEN,FAT,18
1990,CLE,LGA,20
1993,GSO,CLT,14
2002,MSY,CLT,10
2006,CLT,TPA,10
2006,RSW,PHL,2
2007,ELP,MAF,1
2007,LAS,SAT,3
2008,SAT,HRL,1
1993,PHL,IND,11
1999,SEA,PHL,43
2001,PHL,CLT,31
2001,CLT,CAE,2
2003,DEN,ATL,4
2006,BWI,PHL,3
2007,BHM,TPA,1
2007,LAS,BUR,8
2008,MDW,MHT,5
2008,OAK,BOI,2
2008,PHX,SNA,6
2008,PIT,LAS,1
2008,SAN,AUS,1
1987,PHX,LAX,26
1992,DTW,PIT,3
2001,PHL,IND,10
2002,IAH,PIT,11
2004,DFW,ORD,12
2005,SFO,SNA,11
2006,PHX,PHL,3
2007,BWI,TPA,4
2007,MCO,DEN,1
2008,JAX,ORF,1
2008,MDW,FLL,5
2008,MDW,IAD,5
1987,SFO,SCK,4
1999,STX,PHL,25
2001,LGA,IND,8
2003,ORD,SAT,12
2006,BDL,CLT,5
2006,LGA,PIT,2
2006,ELP,LAS,1
2007,CLE,MDW,4
2007,IND,MDW,1
2007,MCO,PVD,2
2008,JAX,BNA,2
